contest_number,questions,caption_choices,label,,,,,,,
737,['Why is the meeting in the clouds?'],"A) Honestly, I’m not sure you’re partner material.
B) And commandments Eleven to Twenty are the same as one to ten, just with tofu instead of meat.
C) I thought you said the cloud was secure.
D) Could you trim the sides but leave it feathered on top?
E) Duck? No, I ordered roast beef.",C,,,,,,,
58,"['Why is the cubicle used as a bedroom?', 'What is the woman reading to her husband?']","A) By the way, we are not allowed to show the face or image of No. 6.
B) Yeah? Well I'm also a fish out of Scotch.
C) They didn't say who...they just said one of us won't be here in the spring...
D) I can evolve.
E) Sooner or later, you're going to have to learn your way to the bathroom yourself.",E,,,,,,,
351,"['Why is the farmer in the city in the first place?', 'Why is he trying to get sheep onto the car?']","A) The specials are coming out a little greasy.
B) You need an agent, not a counsellor.
C) They only want the starter.
D) It says Martha Stewart once lived here.
E) Come on! Do you have any idea how long it took to get through the turnstiles?",E,,,,,,,
40,"[""Why is the snowglobe in this woman's bed, potentially acting as a replacement for her partner?""]","A) Personally, I think Prozac is a lot easier.
B) I wish you’d go back to doing self-portraits.
C) I thought our sex life was a train wreck.
D) Well, that was abominable.
E) Don't tell me it's halftime already.",D,,,,,,,
580,['Why is he in a hammock?'],"A) Brittany, I understand you've written Kyle's vows, which he'll now read.
B) My liege, Albuquerque is yours.
C) Seriously, all you need is a letter from your doctor.
D) It's not just Henderson. Corporate laid off the entire bunny division.
E) I think the collection agency is getting serious.",C,,,,,,,
348,"['Who was the inspiration for the stones?', 'What is the tour guide saying to the tourist?']","A) Don't be fooled. He has a dark side.
B) I only like you as a friend, weapon, and means of travel.
C) You're not supposed to mix Ambien and Quadrophenia.
D) Not everything is about you.
E) They keep watch on the offshore accounts.",E,,,,,,,
560,['Why are they in the hole?'],"A) I love her. And she can dunk.
B) The captain assures me it was a very small iceberg.
C) A Citation? Is it for bravery?
D) I invented fire. He invested in it.
E) And the worst part is this isn't my luggage.",D,,,,,,,
156,"['Why is the man wearing high heels?', 'What is the man saying to the woman?']","A) I'm looking forward to casual Friday, when I can put on some flats.
B) It’s time you learned about managing people’s expectations.
C) Maybe His Highness should make reservations next time.
D) A better question is, why aren't YOU wearing a mask?
E) It autocorrected to ""hula"".",A,,,,,,,
739,['Why is the dog dressed as a human child?'],"A) When you're best in show, you can have nice clothes, too.
B) Be careful, these machines are self-loading.
C) Oh dear, that's my wife! Act casual.
D) My other two wishes were ironically misinterpreted, too.
E) How long has the ""Check Condiments"" light been on?",A,,,,,,,
425,['Why is there a grave in an office?'],"A) When they said, ""Take us to your leader."" I don't think they meant your mother's house.
B) Oh, great. More office drama.
C) Damn, I loved that giraffe.
D) We don’t forgive those who trespass against us.
E) I can give you the tools, but you have to do the work yourself.",B,,,,,,,
246,['Why is there an electric chair here?'],"A) Or we go to Plan B and slip something in his coffee.
B) He's been on that same story for hours. I'm beginning to think he can't read.
C) This saddest part is he's going in the wrong direction.
D) So that's where all of the coffee filters went.
E) I'm always done in three minutes.",A,,,,,,,
211,['How is this man alive without a spacesuit?'],"A) I'm hourly.
B) Welcome to orientation.
C) It cuts down on the yelling and splashing.
D) You border patrol are good.
E) You were with Ringling Brothers? I was with Lehman Brothers.",D,,,,,,,
308,['What are the cavemen doing with those wheels?'],"A) You're gonna have to roll me outta here.
B) I heard dinner needed rescuing.
C) They found out we've been fleecing them.
D) It was at that precise moment that George realized he could tell his boss exactly where to shove that performance review.
E) Why am I always the one who needs to change?",A,,,,,,,
665,"['Why is there a man standing on the shark?', ""What's the shark saying?""]","A) Those buckets of fish heads aren't going to take themselves out.
B) Both the movie and I will be released this summer.
C) I didn't know what you were serving, so I brought white.
D) Larry can't tell you about his current project—it's top secret.
E) For God's sake, Dave, you're thirty-five—just use the stairs.",C,,,,,,,
546,['Why are the dolphins forming an island?'],"A) I'm thinking now I probably should have just trained them to get help.
B) You know what? Just bring me back the one with the fly in it.
C) That's perfect. Get out the treats.
D) Ask again if anyone turned in a phone.
E) Complain all you want but I haven't lost a bathroom key yet.",A,,,,,,,
759,"['Why is the fish alive and on a plaque?', 'Why is the fish on the plaque angry?']","A) There's water everywhere
B) I see myself in so much of his work.
C) Well, well, well. If it isn't the one who got away.
D) Dad, you're not talking about my generation.
E) Ah, the innocence of youth.",C,,,,,,,
703,['Why is an alligator in a restaurant?'],"A) We asked the flooring company for red tiles, but it autocorrected to rep-tiles.
B) This better be a real monster attack and not some political-payback scheme.
C) Your meal came with a toy?
D) Now, that's what I call execution.
E) You bought the sofa, you find the remote.",A,,,,,,,
668,['Why does the dragon have flowers?'],"A) I can’t skip.
B) Well, well, well. If it isn't the one who got away.
C) I shouldn't be telling you this but I saw her last week on a different cake.
D) I'm sorry. I've been burned too many times.
E) I know this seems weird, but even as a cub I could feel the rush of Wall Street racing through my veins.",D,,,,,,,
412,['What happened to lead to this?'],"A) It's the closest you'll get to Manhattan in your price range.
B) I don't know about you, but I can't wait for this day to end.
C) Can't I just laugh till it hurts?
D) I say we start the meeting without him.
E) Yes, but just a couple of meads, probably more than an hour ago.",C,,,,,,,
741,['Why is the moon winking?'],"A) The consensus of your wise men is: move the chair.
B) Wow, it's a rare full-of-himself moon.
C) Five hundred billion galaxies and nothing’s on.
D) Keep going—it's starting to turn me on.
E) For God's sake, Dave, you're thirty-five—just use the stairs.",B,,,,,,,
384,['Will the monster eat the people?'],"A) Why can't he take a limo like the rest of us?
B) Call security and tell them to circle the wagons!
C) You're both dummies!
D) He has a summer job as a scarecrow.
E) I wish they would just go back to tapping our phone lines.",E,,,,,,,
753,['Why is there a whale pushing a cart of groceries inside of a grocery store?'],"A) That was the wakeup call from Hell.
B) It was Melville who called you a dick.
C) I got your message. How can I help?
D) It gets easier the second time.
E) Swift justice or cold pancakes? It's your call, honey.",B,,,,,,,
326,['Why does the man have a pistol in his hand?'],"A) I keep forming inappropriate attachments.
B) You pulled ahead of ""guy banging on a pot"" but ""couple making love with the drapes open"" is still way ahead.
C) Regime change is never easy, dear.
D) No, what I said was we need more stakeholders.
E) I wasn't laid off—I just decided to pursue other interests.",A,,,,,,,
167,['What is he saying?'],"A) It was free, but the shipping cost me an arm and a leg.
B) I was pretty sure I said ""a cold beer"".
C) Could you bring me back a goat?
D) As a weasel, I need your vote.
E) We're not the only ones that could use a shave.",D,,,,,,,
647,"['How is a snow skier able to ski and jump a ramp on a lake?', 'What is the snow skier saying to the waterskier?']","A) He's been on that same story for hours. I'm beginning to think he can't read.
B) He just walked by like he thinks we don't exist.
C) I don't know how to tell him it's not his.
D) So that's where all of the coffee filters went.
E) This was so much more awkward before Craigslist.",B,,,,,,,
584,['How did the man clone himself?'],"A) Well what do you think happened to the parrot?
B) Of course I understand the gravity of the situation.
C) I don't play. I just really hate elephants.
D) Never mind. It looks like they fixed the copier.
E) Jenkins, if I want another yes-man I'll build one.",D,,,,,,,
13,['Why is that man dressed like that?'],"A) I think we need a new sex therapist.
B) This is the exact moment Susan realized she may be an accomplice and not a magician's assistant...
C) Try to look housebroken.
D) You realize a seven-foot diary is fair game.
E) I'm losing confidence in Google Maps too.",A,,,,,,,
511,['What are they doing?'],"A) It appears that even the window washers are using steroids.
B) I'm a big person. It only looks smaller.
C) I'm working my way up to a sex-change operation.
D) Maybe His Highness should make reservations next time.
E) GIVE HULK TRANQUILITY NOW!",B,,,,,,,
237,['Why is he turning into bubbles?'],"A) Monday mornings you want to strangle him.
B) I'm just saying, after this haircut, it's difficult to trust you.
C) Your slogan should be 'Rest assured. My wife will do it.'
D) My other two wishes were ironically misinterpreted, too.
E) The heating system is pretty old but very reliable.",A,,,,,,,
742,"['Why did the man decide to do his cooking in the museum?', 'What is the man yelling at the guy on the left?']"," """"I'll always consider this home.""""]"""," join 'em.""""",,"scene: an art gallery description: A group of people are standing in an art museum. One man is grilling burgers on a barbecue while another man seems to be yelling at him. A boy is waiting to be served a hamburger uncanny: A man has brought a grill and food into a busy museum. entities: Impressionism, Grilling. choices A: I'm surprised you can ghostwrite for him. I've only heard him say, ‘Fee fi fo fum.�?B: If you can't eat 'em, join 'em. C: I could've made that! D: Earl of Cowlick. And you are? E: I'll always consider this home.",C,1,cbcff649a9f0ba2343174a0f1f993be0,"A) I'm surprised you can ghostwrite for him. I've only heard him say, ‘Fee fi fo fum.�?B) If you can't eat 'em, join 'em.
C) I could've made that!
D) Earl of Cowlick. And you are?
E) I'll always consider this home.",
27,"['Why do the men have parrots on their shoulders?', ""Why doesn't the man who is standing have a parrot on his shoulder?""]","A) Please use a coaster.
B) Yes, it's a home game. Of course it's a home game. Everything's a fricking home game.
C) Please, Mr. Blaine. I do have other patients to attend to.
D) No one expects an immaculate conception until it happens to him.
E) Shut up, Bob, everyone knows your parrot's a clip-on.",E,,,,,,,
230,['Is the road telling time?'],"A) I'm allergic to down.
B) You know, a drive in this old open roadster sure does turn back the clock!
C) If you want to get into this property you will have to move fast.
D) If you see something, say something.
E) I heard dinner needed rescuing.",B,,,,,,,
703,['Who made that hole and put an alligator in it?'],"A) Maybe it would go better in the den.
B) We're trying to teach him not to beg at the table.
C) Not everything is about you.
D) Like I would date a guy from Notre Dame.
E) I'm sorry. I've been burned too many times.",B,,,,,,,
140,['Why are there strobe lights going on near the wagon riders?'],"A) They call it kitsch-and-release.
B) Indian casino. I'd say Comanche.
C) Well, the menu did say ‘Chose your own lobster.�?D) Evolve already.
E) Isn't it true, Mr. Bear, that you were in bed with my client on the night in question?",B,,,,,,,
227,['Who is the workman calling?'],"A) I finally got that desk job I’ve been looking at.
B) Speak softly and carry a big fish.
C) Technically, I'm guarding two posts.
D) It gets easier the second time.
E) I am Spartacab.",A,,,,,,,
716,['What do they need the traps for?'],"A) You call THAT pushing?
B) The listing did say kitchen to die for.
C) You don't have to tell me it's a vanishing breed.
D) No, really. Your chariot awaits.
E) Let's continue this discussion over a hot barrel of coffee.",B,,,,,,,
20,"['Why is the man so tiny?', 'How do the people at the party know the small man?']","A) Stop me if you've heard this one.
B) I thought you said the cloud was secure.
C) The doctor said it might help me quit.
D) It was a very hostile takeover.
E) Larry can't tell you about his current project—it's top secret.",E,,,,,,,
705,['Why are there modern things in the scene?'],"A) Very nice. Now do a boat.
B) Americanos.
C) As senior squeegee-man during flight simulations, moving up didn't pan out.
D) Just tell Dad it's a staff job with a leadership position.
E) On casual Fridays, it's just handcuffs.",B,,,,,,,
319,['Why does the snake have a human butt.'],"A) When they said, ""Take us to your leader."" I don't think they meant your mother's house.
B) Sorry, but I have to play it where it lies.
C) I don't care what your ancestry results said, you look ridiculous.
D) Please stop asking, honey. If anything, you look too thin.
E) Ironically, it's for being so humble.",D,,,,,,,
680,['Why is the bear in the restaurant and why is he all wet?'],"A) Well, it suits you better than the president costume.
B) I guess my wife couldn't make it.
C) I heard they're part of a failed Italian space program.
D) If you see something, say something.
E) I was pretty sure I said ""a cold beer"".",E,,,,,,,
658,['Why are the dogs working with the humans?'],"A) Then why did you have the bumper sticker?
B) So that's where all of the coffee filters went.
C) I knew they were smart. I didn't know they were sarcastic.
D) Like the pomp. Not crazy about the circumstances.
E) Do you want to go for L-U-N-C-H and maybe a W-A-L-K?",E,,,,,,,
760,['Why is the waiter bringing a garbage can to the table in the restaurant?'],"A) I'm sorry, sir, but we do reserve the right to serve refuse to anyone.
B) At home we're not allowed on the furniture.
C) Let's not forget what happened the last time our session ran late.
D) Are you here for your annual or your perennial?
E) So what makes you think we need a health inspector?",A,,,,,,,
170,['Why does he have the chicken?'],"A) In order to truly master the art of fetch, you must understand every element of the process.
B) Now don't you wish you hadn't done so many helium shots?
C) Home�?is there really no place like it? Who’d like to start?
D) I am useless until I have my morning turkey.
E) I didn't think the oceans could rise any higher.",D,,,,,,,
562,['What are they talking about?'],"A) Bring me my shoes.
B) One of us is about to die.
C) O.K. I'm at the window. To the right? Your right or my right?
D) On second thought, let's skip the chocolate lava cake for dessert.
E) Grounds still warm . . .",B,,,,,,,
737,['What does Jack think about this?'],"A) I thought you said the cloud was secure.
B) I was married once. Didn't work out. She was a tart.
C) They call it kitsch-and-release.
D) Ever think about kids?
E) Joe, do you understand the gravity of the situation?",A,,,,,,,
34,['What is the vampire trying to express towards the woman by spreading his cape open?'],"A) Siri, how far can a hunchback jump?
B) I switched from Pantene to Dove
C) I just can't get past the difference in our ages.
D) I guess this rules out a church wedding.
E) Go ahead, waterboard me.",D,,,,,,,
533,['Why are they eating at a subway?'],"A) It's a lot to digest.
B) He insisted on a contract no longer than one page.
C) I can arrange a violinist for 25¢. For $1, I can make him go away.
D) I know this may not be a good time, but the rioters are burning down the cathedral!
E) And just when I finally got comfortable in my own skin, she repainted the bedroom.",C,,,,,,,
556,['Why is the woman wearing a hazmat suit?'],"A) You won't have to drive to this clinic. Just wait in your cornfield.
B) I think I like the French maid outfit better.
C) He won't last long.
D) I listed our freezer on Airbnb.
E) I'm sorry I couldn't get more for you in the divorce settlement.",B,,,,,,,
733,['Why are the sheep are angry at the wolves?'],"A) He's the advertising executive. Let him come up with a caption.
B) I let my mother-in-law move in with us.
C) This is my first mirage à trois, too.
D) It seems you promised them herd immunity, Sir.
E) Can't you just ignore the polls on this one and go with your instinct?",D,,,,,,,
92,['Why does a dolphin need money?'],"A) Come on, George. You know he's only going to spend it on more oxygen.
B) Monday mornings you want to strangle him.
C) See? Now they ALL want scarves.
D) Let's just give him the damn cheese.
E) You know how they say that in the Spring, the desert comes alive?",A,,,,,,,
737,['Why is the meeting in the clouds?'],"A) Well, where did you think baby grands came from?
B) I have a request to see how the sausage is made.
C) We have a stalker.
D) I can’t skip.
E) Still not level.",C,,,,,,,
531,['What are they talking about?'],"A) In our opinion, you won't make it past the holidays.
B) Of course I understand the gravity of the situation.
C) I can't believe my eye!
D) Yes, it's hot. But a ceiling fan will only make things worse.
E) Could you explain the ‘act of God�?clause again?",D,,,,,,,
3,['Why is he being yelled at?'],"A) Let me guess...the Gym Reaper?
B) I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.
C) Would it kill you to use a few of your roaming minutes?
D) Joe, do you understand the gravity of the situation?
E) Yes, yes, I mythed you too.",C,,,,,,,
691,['Why are there snowmen staring into the house?'],"A) We meant get a job AND move out.
B) What really hurts is that you couldn't tell me to my face.
C) Well the ad did say apartment size washer and dryer.
D) I'm afraid he's started refusing all conditioners.
E) Well, he did say he'd be back again someday.",E,,,,,,,
213,['Why is the man hammering a plaque in bed?'],"A) I found your brother...I'm glad we didn't use the snow blower....
B) They ignored your first ten. What makes you think you'll do any better with these?
C) Do what he says, honey. Give him your kidneys.
D) They’re for our senior citizen birdwatchers.
E) Wave to him.",B,,,,,,,
735,['What is the cake saying to the frowning man?'],"A) It's Karma !! But who'da thunk the hamsters would inherit the earth?
B) I shouldn't be telling you this but I saw her last week on a different cake.
C) I shall offer you three settings.
D) 'Yes Robert I bought a chair. I was sick of my options being between a rock and a hard place.'
E) I saw your ad in a bottle.",B,,,,,,,
588,"['Why is the man on the top of a church steeple?', 'What is the woman saying on the phone?']","A) Stay back! They may have gluten!
B) Here's a trick I learned from my lawyer.
C) Make a different wish, your bagel is really stuck.
D) Honestly, I’m not sure you’re partner material.
E) Siri, how far can a hunchback jump?",E,,,,,,,
627,"['Why is the table placed where it is?', ""What's on the menu?""]","A) You wouldn't believe it! I met a man at the pet store.
B) I'm thinking now I probably should have just trained them to get help.
C) You might want to rethink your ringtone
D) Weren't there three of you?
E) That's Bob Mankoff. He used to be the cartoon editor of the New Yorker.",D,,,,,,,
509,['Does the bear catch the fish?'],"A) How is she on the pole?
B) Let's stay in tonight. It's a zoo out there.
C) Please! I have a wife and two thousand kids!
D) I told my ex I'll take her back if she drops some weight.
E) This way, it's a business trip",C,,,,,,,
704,['Why are the men carrying tubas?'],"A) You two seem oddly suited.
B) What kind of neanderthal uses vodka instead of gin?
C) Forget everything you've ever thought about elevator music.
D) And this is our new incentive plan.
E) Or we go to Plan B and slip something in his coffee.",C,,,,,,,
276,"['Why has the man been tied to the chair?', ""Did the woman tie him to the chair so he wouldn't escape?""]","A) You're right. It is easier with the ball.
B) Would you like that straight up, on the rocks, or sprayed directly in your face?
C) Looks like they're ready to be flipped, Bob
D) Relax. The DVR is set. You can catch the game tomorrow.
E) Should we tell him we found his car keys 2 hours ago?",D,,,,,,,
680,['Why is the bear in the restaurant and why is he all wet?'],"A) Well, it suits you better than the president costume.
B) I guess my wife couldn't make it.
C) I heard they're part of a failed Italian space program.
D) If you see something, say something.
E) I was pretty sure I said ""a cold beer"".",E,,,,,,,
580,['Why is he in a hammock?'],"A) Let's just keep an eye on it for a while.
B) Your constituent called.
C) No, I will not push you again.
D) Honey, I told you the whole world is headed to the Cape this weekend.
E) I think I packed more than I need.",C,,,,,,,
57,['How did the man get bitten.'],1," 'It was Melville who called you a dick.']""",,9ab37689089b1ac9fb41f4bdaca7b1b4,"A) 'Sharply worded' would describe it.
B) I knew I should have had that alarm installed when I got you.
C) It's painful, but I couldn't stand another chorus of ‘Take Me to the River.�?D) This will go down in history.
E) It was Melville who called you a dick.",,,,
741,['Why is the moon winking?'],"A) Could you trim the sides but leave it feathered on top?
B) Remind me to close the curtains tonight.
C) Looks like I'm going to have to cancel my High Noon.
D) We had a good run, Ted, but I simply don't have the counter space.
E) What makes you think we found your cat story boring?",B,,,,,,,
529,['How is he suspended in the air?'],"A) Both the movie and I will be released this summer.
B) Look, damsels say all sorts of things in distress.
C) There goes my novel.
D) There's really nothing to it.
E) We’re tabling the motion.",D,,,,,,,
372,['Why do people have wind up levers coming out of them?'],"A) I heard they're part of a failed Italian space program.
B) OK, but he is going to have to check that bag.
C) At least the hard part's over.
D) I feel we should rethink our immigration policy.
E) And Bob here came to us from a jewelry box.",E,,,,,,,
425,['Who died?'],"A) And Bob here came to us from a jewelry box.
B) I know her but we were never close.
C) I thought he wanted to be shredded.
D) I always wake up dreading the morning.
E) Table for eleven? Right this way.",C,,,,,,,
343,['What is the centurion doinng there?'],"A) No, really. Your chariot awaits.
B) I asked you to go get two MOJITOS!!!
C) Take it. You mother worries.
D) I did the choreography myself.
E) I'm sorry I couldn't get more for you in the divorce settlement.",A,,,,,,,
422,['Why does the turtle of things under its shell?'],"A) I know I have a book in me.
B) Anywhere but Eve's office.
C) I put some beer on the hook. I figure if that's what got him into this mess it should be able to get him out.
D) Do you ever want to wring your own neck?
E) In my defense, the neutering was a requirement of the condo board.",A,,,,,,,
325,['Why are these statues smiling?'],"A) It's Kansas, m'am. Evolution is a crime.
B) I think the head's in the wrong place.
C) Yes, Officer, they say he was about six feet four, with pointy ears and abnormally short arms.
D) Believe me . . . it's what's UNDER the ground that's most interesting.
E) A friendly gesture can make first contact go a lot better.",D,,,,,,,
585,"['Why is the Genie coming out of a toaster?', 'What is the Genie saying?']","A) I shall offer you three settings.
B) Team-building is all about trust.
C) Hey, you teach C.P.R. your way, and I'll teach it mine.
D) Isn't Airbnb great?
E) And at what point did they threaten to beat the stuffing out of you?",A,,,,,,,
530,"['Why is the sword so big?', 'What is the scribe reading to the king?']","A) The queen has agreed to split everything fifty-fifty.
B) I'm sorry. I've been burned too many times.
C) I couldn't find a real naked woman to ride with me in the H.O.V. lane.
D) Here's a trick I learned from my lawyer.
E) It was a partially dark and stormy night.",A,,,,,,,
78,['Why are they sleeping in a jail cell?'],"A) Things just weren't working out for him on Wall Street
B) Ever think about kids?
C) Stop fighting it, kid—everyone eventually sings in the shower.
D) I tend to complicate simple things.
E) If I am lying then let God strike me dead!",B,,,,,,,
584,['How did the man clone himself?'],"A) The memo said to 'expect incoming male' but we had assumed it was a typo
B) It’s always a problem for us when a crime is committed on Halloween.
C) Hold on, the Senate Committee on Women's Health is getting out.
D) My mother is coming to stay next week.
E) Oh, yeah? Well, I’m off to see the orthopedist.",C,,,,,,,
560,"['Why are the cavemen in a hole?', 'What is the caveman saying to the cavewoman?']","A) I think I liked them the other way.
B) I don't think 'dressage' means what you think it means.
C) Perfect! I'm surprising someone for dinner.
D) Getting past the guard is easy. How do we remove the paintings?
E) I'd love to come, but you know the old ball and chain.",D,,,,,,,
111,"[""Why doesn't he have any clothes on?""]","A) Why yes, I always do dress to kill.
B) Just tell Dad it's a staff job with a leadership position.
C) Forgot my underwear, shirt, suit, belt, tie, and watch.
D) I look like five bucks.
E) Move the car.",C,,,,,,,
587,['Why are deer acting like people here?'],"A) I think we made a wrong turn at puberty.
B) We get it. You're straight.
C) Sorry, sir. We don't allow...hats.
D) This better be a real monster attack and not some political-payback scheme.
E) I was young and needed the money.",E,,,,,,,
519,['Why is the bird on the gun?'],"A) Your cheeseburger is on the loading dock.
B) Sorry, boy, but you know how it is with them peel 'n�?eat shrimp.
C) Ice fishing and skydiving—who says they don't go together?
D) Oh dear, that's my wife! Act casual.
E) It took us years to get somebody in the inside.",E,,,,,,,
675,['Why is an astronaut and diver at a dinner party?'],"A) He got the man cave in the divorce.
B) They found out we've been fleecing them.
C) If you want cheese, you'll have to stay on until 59th Street.
D) Honey, be nice... he's under a lot more pressure.
E) I'll take a cab.",D,,,,,,,
763,['Why is the hot dog car colored in?'],"A) Well, there he goes—the first casualty of the War on Easter.
B) Yeah, they're great cars, but you don't want to see how they get made.
C) Believe me . . . it's what's UNDER the ground that's most interesting.
D) Invite them in if you want to get rid of them.
E) Keep moving. He's a hugger.",B,,,,,,,
528,['Why are the people in one corner of the room?'],"A) It's called a ""pet.""
B) Should I have gotten a half-barrel?
C) Excuse me—does this joke need a lawyer?
D) Keep in mind the neighborhood is expanding.
E) Welcome to Weight Watchers!",E,,,,,,,
627,"[""Why are the people on a balcony that doesn't seem to support them?""]","A) The board just voted to remove the net.
B) Bob just came directly from work.
C) I recommend the pigeon. It's locally sourced.
D) It seems you promised them herd immunity, sir.
E) The goatee looked dumb on its own.",C,,,,,,,
108,"[""How come the cave people don't have a house?""]",1," perfect - we're WASPs!""""]""",,c50dd79d1802b0422143ee9315d0fcd6,"A) Here, we shoot the messenger.
B) The last princess I rescued was in a well.
C) Thank you for agreeing to meet remotely.
D) ’He's always thinking outside the rock.�?E) Oh, perfect - we're WASPs!",,,,
522,['Why is he experimenting on the man?'],"A) We might be empty nesters sooner than we thought.
B) To be fair you did say you wanted what you had last night
C) the mrs. requests you come upstairs and try creating life the old fashioned way
D) C'mon, live a little.
E) In the end, Ed, most of us are carried along by our delusions.",C,,,,,,,
