contest_number,questions,caption_choices,answer,,,,
554,['Why is the clown staring at the clerk?'],"A) ""It's OK to cry in your beer, everyone else does"".
B) You were with Ringling Brothers? I was with Lehman Brothers.",B,,,,
449,"['Why is the man laying a brick wall through the house?', 'What is the man saying to woman?']","A) I think we should stop seeing each other.
B) See? I do know what 'literally' means.",A,,,,
339,['Why is Superman taking the plane?'],"A) I feel like we've gotten a little soft, Lex.
B) I am searching for a city that still has phone booths.",A,,,,
58,['Why is the bedroom in a cubicle office environment.'],"A) Sooner or later, you're going to have to learn your way to the bathroom yourself.
B) I guess they meant it when they said you would not have a life outside your job.",A,,,,
739,"[""Why is the dog wearing people's clothes?""]","A) Once tax season is over, you can go back to being the only child.
B) Guess who was voted Most Likely to Succeed in dog training school.",A,,,,
213,['Why is the man hammering a plaque in bed?'],"A) Iím pretty sure when He said to tell all your followers, He meant on Twitter.
B) They ignored your first ten. What makes you think you'll do any better with these?",B,,,,
593,['Why is he so calm after being stabbed in the back?'],"A) Work is going about the same as always.
B) She left a note. No, I haven't read it yet.",B,,,,
61,['Where did this giant come from?'],"A) Really God, you worry too much.
B) Gulliver travels to get a physical.",A,,,,
668,['Why is the dragon carrying flowers for the maiden?'],"A) I'm sorry. I've been burned too many times.
B) Just put them in the moat with all the rest.",A,,,,
350,['Is the politician driving his own bus?'],"A) I don't care if the unemployed are a major voting bloc.
B) Your slogan should be 'Rest assured. My wife will do it.'",B,,,,
631,"['How did the Chef get his dough past security?', 'Why is the Chef making pizza on his flight?']","A) You can either complain about airline food or do something about it
B) I've found that using this venue results in some interesting new toppings.",A,,,,
515,['What caused their injuries.'],"A) Let's not forget what happened the last time our session ran late.
B) My father always said you came from the wrong side of the tracks.",A,,,,
501,['What is up with the weird emblems?'],"A) This is step one. Next we slip in some ads.
B) Friends don't let friends text and hoist.",A,,,,
718,"['Why is the horse wearing slippers?', 'What is the horse saying?']","A) I don't think 'dressage' means what you think it means.
B) They don't have to match, they just have to go.",A,,,,
581,['What deal is being made here?'],"A) It's a Christmas sweater. Someday you'll understand.
B) Oh, right, you're the tablet guy, not the flood guy. My bad.",A,,,,
82,['What is the point of this scene?'],"A) It's like paradise for the first few days. But you wouldn't want to live here.
B) I don't know. It's large, kind of ethereal, and pointing in a very accusatory manner.",A,,,,
203,['How did they capture the giant.'],"A) Lilliputs don't have safe words.
B) First time at Euro Disney?",B,,,,
89,"['What is the lion saying on the phone?', 'Who is the lion talking to?']","A) After this we're doing a leather bar in Frisco.
B) Yeah, I know. But who changes careers at my age?",B,,,,
741,['Why is the moon winking?'],"A) Wow, it's a rare full-of-himself moon.
B) Ok, we definitely use emoji's too often.",A,,,,
425,['Who died?'],"A) I thought he wanted to be shredded.
B) This cubicle has bad Feng Shui!",A,,,,
217,['Why is there a pool in an office building?'],"A) My wife won't let me put one in the back yard.
B) I meant a larger pool of applicants.",A,,,,
705,['What do the cowboys think about this?'],"A) Americanos.
B) Couldna gone far.",A,,,,
651,"[""Why hasn't the man died from the snake being wrapped around him?"", 'Why is the doctor dressed so informally?']","A) The tests are all normal...is there anything else you have concerns about?
B) I usually don't say this to men.....How far apart are the contractions?",B,,,,
275,['Why is this woman living in the court?'],"A) Don't worry, she's just the public defender.
B) I hate it when you bring work home.",B,,,,
565,['Why is the piece of paper on fire?'],"A) Good news. We found a match.
B) What preexisting conditions?",A,,,,
392,"['Why is the Hulk at a yoga class?', 'Why is the Hulk attacking the man?']","A) GIVE HULK TRANQUILITY NOW!
B) Me like partner poses...",A,,,,
173,['Why are the men carrying so much money?'],"A) I always love visiting our nation's capital.
B) At the next bailout, let's also ask for a pony.",B,,,,
623,['Why did the man want to fly the animal as a kite?'],"A) Wow -- that takes loyalty at a whole new level.
B) It's a park. He's on a leash. What's it to you?",B,,,,
728,['What happened to the man with tattered clothes?'],"A) All my co-workers think this is just a virtual Zoom background.
B) My story isn't nearly as dramatic. The ocean came to ME.",A,,,,
734,"['What is the mobster trying to do to this man?', 'What is the mobster saying to the man?']","A) When you get the water bill, you're gonna wish we tossed you in the East River!
B) Normally, I'd dump you in the East River, but it's not safe to leave the house.",B,,,,
680,['Why is the polar bear soaking wet?'],"A) Very funny, Senator Inhofe, very funny
B) Is it too late to cancel the salmon?",B,,,,
654,"['What caused the soup to take that shape?', 'What is the man saying to the waiter?']","A) This isn't exactly what I meant when I said, 'Surprise me!'
B) You know what? Just bring me back the one with the fly in it.",B,,,,
549,['Are they in an asylum?'],"A) I hope you'll accept our job offer. I think you're a perfect fit for our corporate culture.
B) Tell me about a difficult situation you've been in and what you did to get out of it.",B,,,,
183,['What happened to the car to cause it to get so far off the road and land inside this home?'],"A) This is why she shouldn't be allowed to keep her car in her bedroom.
B) We should tell the G.P.S. people that they changed the off-ramp.",B,,,,
658,['When did the animals become this intelligent?'],"A) Once you tell them to sit and stay, they actually get a lot of work done.
B) Is there any way to keep the Purina ads from popping up on the screen?",A,,,,
15,"['Why is the man ashamed of his baldness?', ""Why is the man's baldness reflecting the woman's face?""]","A) It might look like the Virgin Mary but I don't see how you can sell it on eBay.
B) I must say that tonight I've certainly gained a new perspective of myself.",A,,,,
546,['Why are the dolphins forming an island?'],"A) Clever. But I bet they didn't predict the presidential election.
B) I'm thinking now I probably should have just trained them to get help.",B,,,,
454,['Why are there barbed wires on the Gate to Heaven?'],"A) We don’t forgive those who trespass against us.
B) I think maybe I need a new travel agent.",A,,,,
708,['Why is a knight in the kitchen?'],"A) Really?! Kiss me.
B) The round table is set.",B,,,,
547,['Why is there a woman leading two men through the desert'],"A) I finally know what it means to be led astray
B) Could really use some rain on this parade.",B,,,,
728,['What happened to the man with tattered clothes?'],"A) The drinks are good, but the service is terrible.
B) Okay, okay. Fine, I'll fill out the census.",B,,,,
658,['Why are the dogs working with the humans?'],"A) I got a ""You're a good girl. Yes you are"" on my performance review.
B) We had three cats in last week, but every one of them ate the mouse.",A,,,,
413,['Why is the old couple robbing the other couple?'],"A) This is what we get for walking down a dark alley before 5 p.m.
B) Can you blame them? Their SNAP benefits were discontinued.",A,,,,
226,"['Why is an alien the doctor?', 'What is written on the paper?']","A) You won't even remember that you were here.
B) There’s a cure—but it’s light-years away.",B,,,,
372,['Why do the people have wind-up turns on their back?'],"A) Be careful not to overwind - it can cost us overtime.
B) This is Karl from Switlerland, he's been clicking for 50 years.",A,,,,
237,['Why did the man turn into bubbles?'],"A) Monday mornings you want to strangle him.
B) He sold his soul to Proctor and Gamble",A,,,,
733,['Why are the sheep are angry at the wolves?'],"A) The boss says to count all the legal votes.
B) They found out we've been fleecing them.",B,,,,
78,['How did the couple end up in the same cell together?'],"A) I don't care how others view our marriage.
B) How about we just stay in tonight?",B,,,,
704,['Why are the men carrying tubas?'],"A) Wait til you see the 76 trombones!
B) We've been asked to work from home.",B,,,,
597,['Is that legal?'],"A) I think I packed more than I need.
B) TSA he-check is a game changer.",A,,,,
580,['Why is he in a hammock?'],"A) It's helping me relate to millennials.
B) No, I will not push you again.",B,,,,
417,['What are the two men arguing about?'],"A) Don't blame me—I voted for the other thing.
B) First a traffic study...now a science experiment!?",A,,,,
593,['Why is he so calm after being stabbed in the back?'],"A) Ummm...I think my wife knows about us.
B) I'd like to start receiving my bill online.",B,,,,
263,['Why is the man up there on the ceiling?'],"A) Bob, we're not in Kansas anymore.
B) You're such a light sleeper.",B,,,,
249,['Why is there a lifeguard and station in an office building?'],"A) The funniest caption never wins.
B) I'm only here for the summer.",B,,,,
86,"['What war is happening on the golf course?', 'Why are the men not alarmed by the war?']","A) I've heard of sand traps and water hazards, but this is ridiculous!
B) If we truly believe in golf, I don't think we have much of a choice.",B,,,,
577,['What is the vendor doing in there?'],"A) Sorry, my roommate's working from home today.
B) The reviews say their anticipation is excellent.",A,,,,
463,['Why is there a cowboy on an island in the middle of the ocean?'],"A) This town ain’t big enough for anyone.
B) Well, global warming sure happened quickly.",A,,,,
619,['Why is there a sword embedded into that desk?'],"A) This guy failed to execute the office of president. But he did successfully execute the office.
B) If you can remove it... it means your heart is pure. But you can no longer work in sales.",B,,,,
589,['Why is the menu so big?'],"A) We're out of that too.
B) See anything you like?",A,,,,
333,['Where is the man from?'],"A) Wait'll the kids hear we're gonna have our own reality show!
B) What kind of neanderthal uses vodka instead of gin?",B,,,,
3,['Why is he being yelled at?'],"A) We can't help you in person! You have to call the hotline.
B) This better be good. That floor was waxed last night!",B,,,,
395,['What happens if the cannon fires?'],"A) First Class, Business, or Economy?
B) Here, we shoot the messenger.",B,,,,
146,['Why is the stick figure in the office?'],"A) On a scale of 1 to 10, how would you rate our weight loss program?
B) I'm sorry, this is Tic-Tac-Toe—applications for Hangman are down the hall.",B,,,,
353,['Why are the assitants there?'],"A) When you promised I'd be the center of your life, this isn't what I had in mind.
B) Can't you just ignore the polls on this one and go with your instinct?",B,,,,
740,['Why is the bull acting weird in the china shop?'],"A) Yeah, the elephant did not work out.
B) Now he breaks stereotypes instead.",B,,,,
515,['Why are they bandaged up?'],"A) This is the first time you mentioned your father...
B) I think that's all the time we have for today.",B,,,,
587,"[""Do they understand what they're seeing?""]","A) It doesn't speak to me.
B) I was young and needed the money.",B,,,,
712,['Did the meteorite level their building?'],"A) Yes, your policy covers acts of God. Why?
B) Why do I feel like you're looking right past me?",A,,,,
532,"['What happened to cause the whale to beach itself?', 'Do you think that the man is okay?']","A) I got your message. How can I help?
B) He just wouldn't shut up.",A,,,,
680,"['Why is the bear so wet?', 'What is the bear doing in the restaurant?']","A) I was pretty sure I said ""a cold beer"".
B) I'm sorry sir but we're all out of the salmon.",A,,,,
377,"[""Why is there a giant rat acting like a person in someone's house?"", 'What is the woman saying and who is she calling?']","A) He's been on that same story for hours. I'm beginning to think he can't read.
B) Your mother says you turned into a pest when you got out of college, too.",A,,,,
7,['Why is the Earth outside the window?'],"A) It's just the wind.
B) The realtor lied.",A,,,,
718,"['Why is the horse wearing slippers?', 'What is the horse saying?']","A) I'm like a swing state. Biden in the front. Trump in the back.
B) Because they don't need to be nailed to my feet, that's why.",B,,,,
535,['Why is there a whale in the car?'],"A) How could I know he's allergic to shellfish?
B) Then why did you have the bumper sticker?",B,,,,
702,"[""Why doesn't the man just remove the pigeon on his own?"", 'How long has the pigeon been there?']","A) Back in the city, I raised pigeons on our roof, but in a small town like this ...
B) You asked if I wanted product in my hair...and I said a smidgeon...a smidgeon, Ralph.",B,,,,
348,"['Who was the inspiration for the stones?', 'What is the tour guide saying to the tourist?']","A) Fortunately, they only cover one per cent of the island.
B) If you looked like these wouldn't you run for president?",A,,,,
457,['Why is the businessman rowing?'],"A) Dress for the job you have.
B) I never thought we'd need a lawyer.",A,,,,
527,['Why is the farmer greeting a spaceman?'],"A) You aren't writing a cookbook, are you?
B) Greetings, and let go of my penis.",B,,,,
27,"[""Why are there parrots on the men's shoulders?""]","A) He should hire a manicurist if he wants a parrot cure.
B) Well, it's not my fault booty revenues are down this quarter.",B,,,,
146,['Why is the stick figure in the office?'],"A) Besides being a stick, what is your greatest weakness?
B) We're looking for someone more multidimensional.",A,,,,
326,['Why does the man have a pistol in his hand?'],"A) I keep forming inappropriate attachments.
B) Can we do another Rorschach test?",A,,,,
115,['Why is the man at the bar wearing a hazmat suit?'],"A) The way I see it, I'm the miner, and you're the canary.
B) I wouldn't be caught dead wearing a tie like that.",A,,,,
647,"['How is a snow skier able to ski and jump a ramp on a lake?', 'What is the snow skier saying to the waterskier?']","A) Small hands. Small feet. Cold weather. You do the math.
B) Like it would have killed you to ask him for directions.",B,,,,
330,['Why did the man turn into a couch?'],"A) You never want to look for loose change anymore.
B) And to think I could have married an Eames chair!",B,,,,
569,['Why is he jumping on the table like that?'],"A) Mind if I jump in?
B) I miss Powerpoint.",A,,,,
182,['Why are the cats piled up like this?'],"A) Yeah, but they still couldn't give me a ""C"" or an ""A"".
B) Hello, YouTube? I've got something you might be interested in.",B,,,,
59,['Why is the clock displaying symbols instead of numbers?'],"A) I have no idea. All I know is I'm hungry.
B) Let me call you back in an umlaut.",B,,,,
250,"['Why is the doctor using a giant magnifying glass?', 'What is the doctor saying?']","A) This may burn a little.
B) No no. Aunts, not ants.",A,,,,
413,['What is the man on the left saying to the woman he is with and why is he smiling?'],"A) Isn't it great how so many their age are pursuing second careers?
B) His YELP reviews are impeccable. He is friendly yet perfectly armed.",A,,,,
461,['Is the man flying on that plane?'],"A) Anything available in Economy Plus?
B) It’s only a 12 second flight.",B,,,,
449,['Why is the wall being taken down?'],"A) I think we should stop seeing each other.
B) See? I do know what 'literally' means.",A,,,,
584,['How did the man clone himself?'],"A) Hold on, the Senate Committee on Women's Health is getting out.
B) I think I'm going to need more than bald with glasses and a moustache.",A,,,,
577,['What is the vendor doing in there?'],"A) This is the most character-driven threesome I've ever been in.
B) When I said I wanted some concessions, this is not what I had in mind.",B,,,,
540,['Why is the doctor checking on the health of an object?'],"A) When was your last dial movement?
B) I'm hearing security is an issue.",A,,,,
736,['Why is the hat in color?'],"A) If that's a courtship display, I think I know how we go extinct.
B) And just when Ralph though 2020 couldn't get any worse...",A,,,,
223,['Why are people in the washing machines?'],"A) When the music stops, nobody knows.
B) I liked my old spin class better.",B,,,,
737,['Why is the meeting in the clouds?'],"A) Growth has exceeded our projections.
B) The guy with the harp? Two clouds over.",A,,,,
108,"[""How come the cave people don't have a house?""]","A) He needed a place to park his wheel.
B) Oh Jenny Look...Fireworks!",A,,,,
252,['Why are there arrows in the office?'],"A) Looks like I'm going to have to cancel my High Noon.
B) No Sarge. They didn't come through the window.",A,,,,
447,['Why are the animals there?'],"A) My pets found out they were adopted.
B) I always feel like everybody is watching me",A,,,,
327,['Did the serpent eat the people?'],"A) Marco!
B) Scoliosis.",A,,,,
7,"['Where are these people if Earth is in the background?', 'What is the man saying to the woman?']","A) I told you mixing Viagra and Red Bull was a bad idea.
B) You always get like this when there's a full Earth.",B,,,,
151,['What could this man be doing with pencils that large?'],"A) And no, this policy does not apply to the bonuses.
B) Let's continue this discussion over a hot barrel of coffee.",B,,,,
526,"[""Why is the male angel's halo so large?"", 'Does the female want to hook up with the egotistical male angel?']","A) Hey! My eyes are down here.
B) I never got any complaints.",A,,,,
148,['Why is a holy religious figure a criminal?'],"A) By the way, we are not allowed to show the face or image of No. 6.
B) I know it is difficult but take your time. You have to be absolutely sure.",A,,,,
191,"['Why did the cat and piglets jump off the cliff?', 'What is the cat saying to the piglets?']","A) I’m just curious—what’s your excuse?
B) You guys all have nine lives too, right?",A,,,,
205,['What are they talking about?'],"A) Geez, it's twenty-five to life already.
B) Morris takes an existential reading...",A,,,,
350,['Why is the man not touring in his bus?'],,,,,,
B) Your speechwriter wants to know if you prefer ‘inexhaustible�?or ‘unrelenting.�?,,,,,,,
142,['Why is there a car in the house?'],"A) I'll concede I'm drunk, but you could have just taken my keys from me.
B) Convenient, yes, but the meter starts running at the chandelier.",A,,,,
515,['Why are they laying on the track?'],"A) Tell me about your childhood very quickly.
B) We should've waited for the express.",A,,,,
148,['Why are religious figures in a police lineup?'],"A) They'll always be remembered for their smash hit 'YMCA'
B) Will No. 3 please step forward and achieve satori.",B,,,,
601,['Why is the cactus following them?'],"A) You should never have said ""Boy that'd make one hell of a coat rack.""
B) You know how they say that in the Spring, the desert comes alive?",B,,,,
155,['Why are the people form the Wizard of Oz having a group therapy session?'],"A) This is my first session, but I have the feeling I've seen all these people before.
B) If you adopt her, please understand that she comes with a lot of baggage.",B,,,,
168,['Is the waiter Stretch Armstrong?'],"A) Apparently, even the Fantastic Four can feel the pinch of the recession.
B) So, now do you believe that the restaurant's name, Anonymous, is eponymous?",A,,,,
547,['Why is there a woman leading two men through the desert'],"A) You're right. No underwear.
B) She had beans last night.",A,,,,
145,['Why is the monster climbing the building?'],"A) It appears that even the window washers are using steroids.
B) Yeah, I know there's no ledge but that's beside the point.",A,,,,
494,['Why is there a therapist there at a football game?'],"A) It's part of Obamacare's mandatory wellness program.
B) No, just hear him out. Maybe we are being too defensive.",B,,,,
394,['What is the purpose of this snail man?'],"A) Yeah, but this race is up the side of a window.
B) I don't think mom's been completely honest with us.",A,,,,
168,['Is the waiter Stretch Armstrong?'],"A) The prices are reasonable because they mostly hire illegal aliens.
B) The first course has been described as a taste explosion.",B,,,,
515,['Why are they bandaged up?'],"A) Let's not forget what happened the last time our session ran late.
B) My father always said you came from the wrong side of the tracks.",A,,,,
760,"['Why is the waiter bringing a trash can to the table?', 'Why is the man at the table frowning?']","A) No, no, no! I said FROMAGE
B) It's curb to table.",B,,,,
593,['Who is he calling?'],"A) Yes, I got the invitation to my funeral.
B) 'Sharply worded' would describe it.",B,,,,
541,['Why does he have a scythe with him?'],"A) Fine! But can I have a few more days to see the first woman be elected president?
B) No, I get it. I just think it's a little insulting that he sends an intern.",B,,,,
727,['Why are the planets visible outside?'],"A) No train, but there's a shuttle.
B) Oh, did I happen to mention the view?",A,,,,
450,['What caused the employees to celebrate by dancing on the table?'],"A) Go check the side effects on that flu vaccine.
B) Honestly, I’m not sure you’re partner material.",B,,,,
718,['Why is the horse wearing shoes?'],"A) I thought, ""You've got your hat, but what do I have?""
B) It's genius! They'll be tracking 2 men on foot!",B,,,,
335,['What happened to the horses?'],"A) This is the best job I've ever had!
B) They're trying to attract a younger crowd.",B,,,,
59,['Why does the clock have odd symbols on it?'],"A) The hours here are obscene.
B) It's from the Deadwood Collection.",A,,,,
320,['Is this a Trojan horse situation?'],"A) They include the gratuity, right?
B) No one attacks quite like the French.",B,,,,
723,['Why are the cats and dogs playing music?'],"A) We should be able to finish the album today, as long as no one rings the doorbell.
B) Of course they're not very good. But our job is to make them sound fantastic.",A,,,,
263,['Why is the man up on the ceiling instead of in the bed next to the woman?'],"A) Is this from the Kama Sutra too?
B) You need to cut your toenails.",B,,,,
2,['Why are they having a business meeting in a subway car?'],"A) Frank called to say he'll be late, he's stuck at the office.
B) Our merger with the IRT has had some unintended consequences.",A,,,,
308,['What are the cavemen doing with those wheels?'],"A) We're looking at sustained energy.
B) You're gonna have to roll me outta here.",B,,,,
692,['Why is the wold trying different skins of animals?'],"A) Why yes, I always do dress to kill.
B) It's nice, but feels too last-decade.",A,,,,
556,['What is she cooking?'],"A) Another executive order?
B) We had meth on Tuesday.",B,,,,
739,"['Why is the dog walking and wearing clothes like a person?', 'What is the man saying to the little boy?']","A) Once tax season is over, you can go back to being the only child.
B) Guess who was voted Most Likely to Succeed in dog training school.",A,,,,
587,['Why are deer acting like people here?'],"A) You know his prices have doubled since he got hit by that car.
B) You’ll love the headlight exhibit in the next room, it’s mesmerizing.",B,,,,
109,"['Why is there an amoeba on a plane?', 'What is the man saying to the woman?']","A) I guess that viral marketing works after all.
B) This guys wife lets him drink on the plane!",B,,,,
237,['Why is he turning into bubbles?'],"A) Monday mornings you want to strangle him.
B) He sold his soul to Proctor and Gamble",A,,,,
252,['How did cowboys and Indians get into the building?'],"A) Looks like I'm going to have to cancel my High Noon.
B) No Sarge. They didn't come through the window.",A,,,,
593,['Why did someone stab the knife on his back?'],"A) Work is going about the same as always.
B) She left a note. No, I haven't read it yet.",B,,,,
755,['Did the woman time travel?'],"A) This wasn't our deal. You said ""Manhattan to Green Acres"".
B) I just can't get past the difference in our ages.",B,,,,
355,['Why is the turkey dressing up?'],"A) I think the hormones are kicking in.
B) Well do you have a better escape plan?",A,,,,
465,"[""Why are there people stuck in a large crack of a building's floor?""]","A) We have a strongly worded non-compete agreement
B) Be careful, the bald spot is slippery.",B,,,,
585,"['Why is the Genie coming out of a toaster?', 'What is the Genie saying?']","A) I know kid, but this model comes with its own elevator.
B) Toasted sesame is way different than open sesame and you know it.",B,,,,
32,['Is it Halloween?'],"A) Well, there he goes—the first casualty of the War on Easter.
B) Smedley's wife really wants a baby and they've tried everything else.",A,,,,
511,['What are they doing?'],"A) I'm hourly.
B) No, thanks. I'm good.",A,,,,
542,['Why is her frill so huge?'],"A) Well, it does make her waist look smaller.
B) I just do not see it catching on.",A,,,,
594,['Why do the trees have faces?'],"A) I remember them from last year. They must be perennials.
B) Remember when we used to cross-pollinate like that?",A,,,,
245,['Why is there a sinking boat in a coffee cup?'],"A) Haven't sighted land yet!
B) Throw us a doughnut!",B,,,,
27,"[""Why are there parrots on the men's shoulders?""]","A) He should hire a manicurist if he wants a parrot cure.
B) Well, it's not my fault booty revenues are down this quarter.",B,,,,
515,['Why are they laying on the track?'],"A) We should've waited for the express.
B) Tell me about your childhood very quickly.",B,,,,
106,"['What did the monkey sitting at the typewriter write?', 'Are there real words on the typewritten pages?']","A) Come on everyone, we need to choose 3 finalists for this week's caption contest!
B) Have you considered writing this story in the third monkey rather than the first monkey?",B,,,,
400,['Why is there a meeting going on in the middle of the air?'],"A) Yes, completely invisible. The 783-million-dollar cost overrun? Not so much.
B) Good, very good.....now let's all try to think it back into the box.",B,,,,
241,['How did that shark get there?'],"A) Let’s ask him to stay for dinner.
B) For the last time, no, I can't open cans.",A,,,,
146,['Why is there a stick figure being interviewed for a job?'],"A) Am I right in assuming you're working on your drawing skills?
B) It was a rough divorce, but she didn't get the Happy Face.",B,,,,
352,['Why is the old man there?'],"A) Career-wise, my mistake was misunderstanding the term ‘Wall Street guru.�?B) The ad clearly states that if t's not delivered within thrity minutes, it's free.",A,,,,
325,['Why are the statues smiling?'],"A) Wanna race?
B) Botox.",B,,,,
83,['Why are the appliances in this house owned by the couple so large?'],"A) And with the price of electricity through the roof, Ellen and I are now forced to ride our bikes to work.
B) You know how it is—first you buy the giant-screen television, then nothing else seems to match.",B,,,,
447,['Why are the animals there?'],"A) I'm so glad to have found a family therapist I can work with.
B) I'm not comfortable discussing that in front of my fish.",B,,,,
563,['Why is the man running on a hamster wheel?'],"A) Same old same old. You?
B) No wonder this gym was so cheap.",B,,,,
667,['Why are they building it?'],"A) We could learn Swedish, but I say we just buy the cheese.
B) They're not testing our intelligence. They're testing our marriage.",B,,,,
705,"['Who brought the cappuccino machine?', 'What is the cowboy saying?']","A) I brought you here because I couldn't figure out how to make my expresso.
B) Unfiltered water and styrofoam cups. These are some bad hombres.",B,,,,
113,['Why does the lady have her gun drawn?'],"A) This one's flagged bi-polar and possibly armed.
B) I can fluff your pillow the easy way or the hard way.",B,,,,
274,['Why is the man trying to bring the ballerina dancer to the bar?'],"A) When people order a White Russian, that's not what they mean.
B) Honest to God, Joe, she's the best bouncer I've ever hired.",B,,,,
596,['What happened next?'],"A) Man, it's dead in here tonight.
B) No, thanks—I prefer spirits.",B,,,,
582,['Are they calling one another on the phone?'],"A) I'll order. You pick up.
B) We never do anything together.",A,,,,
443,['Why are the bowling pins so huge?'],"A) Bring me my shoes.
B) Their overhead killed them.",A,,,,
319,['Why does the snake look like it has a human buttocks?'],"A) We're going to need a bigger den.
B) I don't like the way Adam looks at you.",B,,,,
138,['What is that aquarium doing there?'],"A) And if you'll agree to drop the divorce proceedings and reconcile I'll throw in a pair of lobsters.
B) You'll find that a couple of hours in the Cool Whip vat will make you see things in a whole new light.",A,,,,
556,['What is she cooking?'],"A) Making fission chips?
B) Forget the flambe and drama.",A,,,,
172,"['Whose smiling face is this?', 'Why is this out of place smiling face here?']","A) Ah, the innocence of youth.
B) His 401(k) must be in treasuries.",A,,,,
707,['What is going on in this picture?'],"A) This was easier to carry when it was flat.
B) Guess I made the wrong career decision.",A,,,,
753,['Why is there a whale pushing a cart of groceries inside of a grocery store?'],"A) Try the beluga, it's really great.
B) It was Melville who called you a dick.",B,,,,
146,['Why is the stick figure in the office?'],"A) Besides being a stick, what is your greatest weakness?
B) We're looking for someone more multidimensional.",A,,,,
120,['Why is Mr. Potato head drinking at a bar?'],"A) If I start to drink too much, just pull off my lips.
B) She was the kind of girl that says ""tomahto.""",A,,,,
529,"[""Why is the man scaling a mountain that isn't there?""]","A) There's really nothing to it.
B) I'm looking for the handwriting.",A,,,,
331,['Why is a UFO following a car?'],"A) Are you really ready to start a new life?
B) Which finger do I use for Aliens?",B,,,,
675,"['Why is there an astronaut and diver at a party?', 'What is the drunk lady saying to them?']","A) We did dress up. We're all the logistics people.
B) I take it you didn't come here for the atmosphere.",B,,,,
400,['Where did their office go?'],"A) Why not? We defy every other law.
B) Well, you wanted to work remotely.",A,,,,
519,['What are the birds thinking?'],"A) We might be empty nesters sooner than we thought.
B) From day one, trees were never good enough for him",A,,,,
32,['Is it Halloween?'],"A) It's not just Henderson. Corporate laid off the entire bunny division.
B) As long as I have a prescription for the medication, they can`t do anything.",A,,,,
581,['Why does Moses need a jacket?'],"A) Expect a chilly reception at the circumcision symposium.
B) Wow, I just ordered that an hour ago on Amazon!",A,,,,
225,['Why is a cheerleader talking to airplane pilots in the plane?'],"A) Terminal C? Turn left at the next intersection, and you can't miss it.
B) I’m trying to raise money for our squad. Would you like your plane washed?",B,,,,
